ID,IMAGE,MASK,LABEL,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_0,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_0_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},738b1aaf2d9efde4213a8f88063601c837b10783,2D,"(1.0, 1.0)","(78, 98)",144.85557299843,13,375,e684c6b09402c6f5e96375ad7dda76dac4fc3e8a,"(1.0, 1.0)","(78, 98)","(5, 5, 68, 88)",4405,1,"(36.283314415437005, 46.0422247446084)","(36.283314415437005, 46.0422247446084)",129,267,180417222,7.68225791670671,81,2.55693414931148,375,43.8916513455327,195.281271282633,191,53,322,32.6613053339525,202.379276664276,0.29740803769604,180417222,0.005458712818603,2822.59670939406,23298.1455765375,143.914710309047,284807956.097852,326607.543093649,10781.9690549042,435.260899341045,0.922420103454931,16.1403844379697,5.41798730675493,173.988879596109,0.000200194101949,12.4704803327722,-0.374634397445161,0.998402139316466,0.063855704113514,0.995893978567989,0.130866172684797,0.953785627315411,0.066463575961231,0.000870339758299,8.58634611266284,2804.30748856133,23.4875582448119,0.005446401433695,2828.04448616112,23452.8820425473,1.06529351581564,24665.5725716418,0.000344942669812,0.000338602997542,7.79865954243082,4135.27721205414,0.958892716393152,0.97900113507378,0.021916001193335,0.984191728862019,23156.3140747454,0.000337071817808,21.8813056379822,0.005410807526702,2843.57798116612,23756.4997527201,1.2959940652819,29195.3595450049,0.000383700468864,0.000354677056375,3451.81404549951,0.85356430403054,0.939663287174415,22590.8939873887,0.000348958418769,8.05717404321263,0.918047673098751,0.109489177406589,8.24353300005982,3238.98320090806,0.735296980909888,0.168827859168394,24.0456299659478,2822.59670939406,23352.1194097616,1.53303064699205,33143.8824063564,0.000385682616598,0.000333527988687,0.88241266237861,21115.7745270526,0.000322259170986
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_1,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_1_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},727c3c37d3c5651e6ff181abec7235b990986050,2D,"(1.0, 1.0)","(87, 134)",175.02710585006,3,469,f2b174ffde01e44643c8c4897ca4a15d7aad13c6,"(1.0, 1.0)","(87, 134)","(5, 5, 77, 124)",6262,1,"(40.419195145320984, 75.64851485148515)","(40.419195145320984, 75.64851485148515)",191,340,435667614,7.76785688399461,75,3.51724721531802,469,46.5908329976423,257.008623442989,245,114,355,31.4695295300439,263.767393026057,0.861896683748386,435667614,0.005533521279514,3519.80509970202,23932.1879735882,143.972908116168,627879341.248447,1375158.01755713,13352.9709405867,537.377380673744,0.922545291076692,17.9930233278508,5.57493921757953,212.519715117176,0.000162496868119,12.8229553219883,-0.346414342899031,0.997673396302146,0.056368570913075,0.995824462288214,0.120499166483337,0.953277868096609,0.058931218288052,0.000794113738445,8.67652038375531,3472.58708031511,33.9166571013094,0.005515574470567,3534.98425606277,24340.4826225017,1.05584507105035,25445.4611114056,0.000274000214535,0.000268858715254,7.87462637044601,5932.7063668428,0.964770196785749,0.981994570424784,0.018812751342435,0.986490846403287,24073.4579173735,0.000267601027165,31.7808313294401,0.005458748081319,3582.37966476794,24590.9950188938,1.24115424252834,29380.5008588114,0.000300931972621,0.00027885593386,5066.16489178976,0.870176037751591,0.947190255353258,23543.8057678728,0.000274052199271,8.11679546375604,0.929734908974768,0.084291793610066,8.29037482322757,4788.26892366656,0.764654890397087,0.143735678726484,34.6509102523156,3519.80509970203,24258.2887256468,1.45257106355797,33189.6895560524,0.000307936741028,0.000265682324787,0.897714166577948,22230.2366833458,0.000256334560515
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_2,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_2_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=3_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},f66989b7b441515b58044726347f23108d15abda,2D,"(1.0, 1.0)","(116, 82)",82.8326324642557,6,196,c42a5c13a929db774717c40802790acdaa8df6b4,"(1.0, 1.0)","(116, 82)","(5, 5, 106, 72)",5121,1,"(51.476859988283536, 40.46260495996876)","(51.476859988283536, 40.46260495996876)",76,134,56248112,6.44814837575445,31,2.93136233900293,196,17.8974017604283,102.431946885374,100,50,146,12.9467224183103,104.803693154434,0.517732610377166,56248112,0.013166967662208,491.510356080756,3240.39488153178,53.3370033433974,8903638.47473962,41207.6910265711,1761.68403983405,179.471818467433,0.815054564534588,10.5935770796242,4.81305602532536,67.2234732114283,0.00040602367777,11.5847551375842,-0.200446721551927,0.961386144006323,0.090437700578278,0.991905795012183,0.170110935085448,0.935185851993517,0.093046340294058,0.001445442302455,7.33193086523202,485.288964575373,65.1462457955992,0.01311976661614,493.625290107185,3358.12602612933,1.0957663102897,3641.84772915633,0.001253725862874,0.00118661794642,6.63365844764317,4672.43974345168,0.940977049335057,0.969634836945909,0.032147593588559,0.977065304592979,3289.54817629172,0.001170439849128,58.7653557224923,0.012983949563078,499.948647515831,3391.68382677861,1.44387980556783,4698.97149801149,0.001542796540369,0.001234122931868,3618.63588157313,0.799521847453189,0.914310710953994,3129.05705767909,0.001173720449345,7.00317200048297,0.883811755516501,0.163672054173569,7.26251644456452,3345.12888107791,0.653217902963857,0.245226693475041,67.4280413981644,491.510356080756,3346.48330404218,1.7900800624878,5665.96231204843,0.00172736538125,0.001171925587577,0.835527457744798,2848.9568172449,0.001056405398604
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_0,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_0_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},3c79462ef08384e713d6d29ec58cb551c89c7cb5,2D,"(1.0, 1.0)","(99, 171)",93.7330025400201,4,295,0820c00fa973ea3ff89e540ff46d2b254295dff4,"(1.0, 1.0)","(99, 171)","(5, 5, 89, 161)",7116,1,"(54.429454749859474, 91.02079820123664)","(54.429454749859474, 91.02079820123664)",88,149,99677255,6.69446292127027,31,4.43101830350025,236,20.2681534396199,115.199971894323,113,23,213,12.9777654580486,118.353216429616,0.375055557932548,99677255,0.012366971990062,736.450314782796,9296.2569613834,93.1638865227978,31797656.5531124,56347.2395525637,2652.22059298224,185.254542664677,0.869344192875318,10.7810331077543,4.836386196404,68.9912014648107,0.000369488092865,11.8116593594095,-0.229214608164028,0.976190272665625,0.088841346321175,0.996005718204155,0.167723423698261,0.953292645442703,0.092689138595524,0.001381245910688,7.57426514738934,709.368783911728,84.9865574310205,0.012304392341329,740.224389933383,9439.39860837896,1.09316919281644,10265.2556750679,0.000486011727547,0.000463349940345,6.87573040938083,6516.28261747171,0.943429943882554,0.970629567172569,0.031732424679739,0.978016029567507,9244.24473158518,0.000457922804974,76.6092463584547,0.012129393026988,751.754966803249,9488.94284357188,1.44268524382521,13360.8823622546,0.000588481178957,0.000483512282913,5115.40088663711,0.80991147666832,0.919171613072081,8757.63792164449,0.000462599811095,7.23123860309518,0.887577290612704,0.173316979786551,7.48572252717045,4726.27852726251,0.664176296692314,0.245803975618364,88.0033726812816,736.450314782796,9422.68507588533,1.77093872962338,16216.5920460933,0.000641464856941,0.000456932503074,0.842266410592717,8009.98463435294,0.000417211972295
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_1,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_1_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},0eebdaf4e173bc24b816449fe2758ecd97affb20,2D,"(1.0, 1.0)","(92, 170)",59.5822250639386,3,137,96fee085748560686b6c674088c7175c3dadf45f,"(1.0, 1.0)","(92, 170)","(5, 5, 82, 160)",6257,1,"(47.48809333546428, 76.45916573437749)","(47.48809333546428, 76.45916573437749)",61,105,46487815,6.12904953336444,23,3.3383838109965,137,13.7799224210422,84.4073837302222,86,19,118,9.6599286998574,86.195876371229,-0.492353285896233,46487815,0.016941562448619,305.122675223216,4693.11687911766,66.8504206815031,3866434.25541681,-22282.5285863518,1043.42332753928,146.97933283978,0.75302113954664,9.64325237799439,4.67365562425506,53.9784112280335,0.00051804070349,11.2665911718076,-0.156302897302331,0.92295755646709,0.097615351324902,0.989934259463319,0.179781310309618,0.927913354765356,0.100880298400987,0.001677128725934,6.97862711855835,297.600665094765,102.250549545371,0.016894640134776,306.088399670832,4720.17859275389,1.10448523688989,5196.43394300421,0.000687588947166,0.000646216059129,6.32952929183279,5672.08538077445,0.93717261266536,0.96727665015183,0.035658730913005,0.975487534468507,4608.1054060493,0.000636430326882,91.5549259733139,0.016734587090717,310.000747631928,4735.69128130141,1.49497349661853,6999.7347834034,0.000865245949027,0.00067512953896,4300.44653628222,0.786043965688579,0.907709450334085,4312.98950954782,0.000640862998286,6.72687926007919,0.874380693623142,0.187000191535162,6.99439051860638,3968.08997922327,0.634184110471995,0.263895352978996,106.00335624101,305.122675223216,4715.06328911619,1.856001278568,8619.00575355602,0.000987791982147,0.00063807634607,0.823465807184842,3907.69561881803,0.000571029073747
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_2,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_2_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=3_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},3820e5f71acc2529ac60aa273b1c9695dfdb1238,2D,"(1.0, 1.0)","(111, 119)",116.517071693542,17,353,0ed18bc57fb95e3636dc42e77f0ef342ad568407,"(1.0, 1.0)","(111, 119)","(5, 5, 101, 109)",5471,1,"(61.5655273259002, 57.81301407420947)","(61.5655273259002, 57.81301407420947)",96,239,142675136,7.53406726449745,73,3.23371839151622,353,45.1410230997819,151.49515627856,134,45,308,31.6629045855755,161.488198674376,0.987517406250526,142675136,0.006828881658165,3127.65593522964,14581.8587445296,107.734690487512,474207907.865802,1340875.33187948,12186.9597479434,286.948197358401,0.954005215088879,13.2138190419568,5.13225321054425,112.210942194695,0.000232693405771,12.3748849736663,-0.356539634179288,0.997668247874768,0.074955471597509,0.997027323240553,0.148008478970426,0.959988074378982,0.079641769748102,0.0009804413278,8.43639434504466,3118.47698632546,36.3189280332437,0.006800343969936,3140.85505267191,14740.0726899707,1.0746779312533,15656.809681278,0.000495865435353,0.000476427635287,7.67071703728194,5093.63367803646,0.953720453039391,0.976192652165966,0.025291301164168,0.982138570245471,14518.2462415299,0.000471712172626,33.2662900948154,0.006710972381444,3180.96773588345,14921.4793221707,1.34173895501311,19059.6719790196,0.000580131139505,0.000492875884583,4130.03611055074,0.833172505658813,0.930326866608388,14034.0707721964,0.000473849279169,7.97609431411489,0.906050082251874,0.123603478110255,8.18091604390473,3858.26411990495,0.705221005283303,0.183794909240631,37.3608115518187,3127.65593522964,14682.8645585816,1.60098702248218,22007.2429171998,0.00062623944493,0.000471322452566,0.865918022299397,13001.8354023234,0.000435446950145
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_0,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_0_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},1a266b23f5116f7457a280de0ba0cb8363fd4451,2D,"(1.0, 1.0)","(135, 121)",62.8255892255892,0,217,c0bc3cea02dd2eccf7fb3cc058322b3caa302a1b,"(1.0, 1.0)","(135, 121)","(5, 5, 125, 111)",7540,1,"(73.49098143236074, 71.93501326259947)","(73.49098143236074, 71.93501326259947)",76,143,94879619,6.73451468175087,36,2.89562304940485,217,21.0650902349274,109.0675066313,109,22,195,15.1066686442029,112.176217827817,-0.109722052916941,94879619,0.010834664283855,687.782843385234,8446.29915900396,88.7378695073144,17707680.0471248,-20439.2604434347,2481.40781626573,193.931163177406,0.854974206847917,11.0379856998023,4.8682391356645,72.0089483680822,0.000304754870652,11.9944548715581,-0.213688560184433,0.971182344391037,0.086856607225339,0.995031265303387,0.165041527756142,0.948216641904917,0.089468371393891,0.001217678487539,7.63822787908054,668.834744860783,79.1516246454044,0.010814181103451,689.549683208737,8459.52905601385,1.09260858892559,9192.46138257989,0.000375493462774,0.000354070894097,6.91494044136689,6904.796901155,0.943370057722921,0.970722811671087,0.031369032213723,0.978007145750102,8285.17305134371,0.000349073008568,71.9357249626308,0.010752724209661,695.657711663885,8509.50418535127,1.43348281016442,11917.7559043348,0.000469576844095,0.000365915012714,5396.11958146487,0.806594855226438,0.917668701212423,7850.44197018768,0.000348184984171,7.2685717654455,0.887267904509284,0.16322914641803,7.52901932305973,4994.21936339523,0.662363310795123,0.239041363831449,81.6933687002653,687.782843385235,8443.66856763926,1.76233421750663,14455.649469496,0.000528864146837,0.000350426359032,0.841036251105217,7178.2940622237,0.0003149831359
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_1,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_1_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},76eabc634c8db4b6808759debb71430e810ea849,2D,"(1.0, 1.0)","(217, 114)",90.7084647101625,0,363,b4fa3ae6cc0d411c7a4a396e5ea748d8a3b5fafc,"(1.0, 1.0)","(217, 114)","(5, 5, 207, 104)",12066,1,"(85.59298856290403, 60.869302171390686)","(85.59298856290403, 60.869302171390686)",91,201,289874609,7.40622198820611,51,3.42416183316161,363,32.7423047348649,149.082131609481,151,24,339,21.9109475263625,154.997048195908,-0.054015200171362,289874609,0.007137631253972,1798.60298421805,17751.5836997341,127.002478977897,158933685.613549,-40059.208102826,6755.85070798527,268.297058915977,0.923574834733681,12.9036494187555,5.09539706282302,101.635655136393,0.000174759914431,12.8286800997953,-0.263902322608127,0.989803958717848,0.074847452045061,0.997697233801735,0.14855261755355,0.964198780739547,0.078698889537131,0.000684381501287,8.33045732658253,1756.0369417253,84.0355247590532,0.007137981968027,1797.92537676332,17716.2078252609,1.07606549543293,18994.7562141726,0.000275272016528,0.000263082936318,7.55687919497205,11216.901401104,0.952763875287994,0.975716890435936,0.025669530253282,0.981762238302126,17407.7090050695,0.000260113184922,77.889458741643,0.007133387557619,1798.79612403018,17784.1244619471,1.34426229508197,23583.2229141863,0.00032487571916,0.000271480285365,9069.13774155142,0.830583179920453,0.929148426290564,16588.9488664764,0.000260205415569,7.87442095345641,0.904939499419857,0.123135081201935,8.11118462055848,8466.5894248301,0.701689824699992,0.189345527055749,86.122658710426,1798.60298421805,17695.3068954086,1.6156141223272,28070.3480026521,0.000360979527325,0.000260613308402,0.863941032653738,15401.2603919185,0.000238994463895
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_2,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_2_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=3_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},118c18618cbcfc223becd0809bb61a2f8e5b1bc0,2D,"(1.0, 1.0)","(87, 110)",67.3738766980146,1,159,f9f4994f668613080f54d33bbc06946cece1df25,"(1.0, 1.0)","(87, 110)","(5, 5, 77, 100)",5867,1,"(45.46139423896369, 48.44673598091018)","(45.46139423896369, 48.44673598091018)",57,117,47712172,6.51453616497718,33,2.45501472379688,159,18.7275192684473,87.2664053178797,88,25,134,13.9265068107295,90.1792355740497,-0.062430496687379,47712172,0.012161198713985,516.869031615503,4500.60317037744,63.7940546596157,8320015.31008964,-7982.50114012865,1865.94256942777,142.345376640001,0.85820123525123,9.45318942291638,4.64980787661762,52.947658779695,0.00039472403856,11.5987611363234,-0.214497592465629,0.968680707752491,0.100218990123804,0.992373437553724,0.182846666491337,0.936826283052911,0.105460668804245,0.001345862896285,7.42516340343232,502.071986516942,68.902193246981,0.012142421369143,518.149871673388,4523.46663826233,1.10434343679642,4981.32333562558,0.000968635001578,0.000918761229596,6.71171259142938,5315.67203156127,0.936757511990934,0.967189364240668,0.03532981775425,0.975334951569613,4414.3985455154,0.000906939583827,61.8966998633079,0.012086838481412,522.664549955136,4537.09080257762,1.49326303456356,6715.56805311463,0.001196228649967,0.00096592275681,3999.99746143331,0.781096946188892,0.905360443923713,4123.09438705548,0.000918608550644,7.10414776875066,0.872848133628771,0.180692578403647,7.367470183229,3699.32725413329,0.630531319947723,0.255287705376689,71.3497528549514,516.869031615503,4519.50707346173,1.84915629793762,8270.32486790523,0.001303558921071,0.000904315528597,0.820746453799973,3732.93589379391,0.000816618680983
Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=3_0,Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=3_0_image.tif,Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=3_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},c4d3d8baaffdf9045bcf5c116d51362bd7676162,2D,"(1.0, 1.0)","(143, 84)",180.641192141192,31,484,16e77820ebcf767ffbe07337b456829d9e630ae9,"(1.0, 1.0)","(143, 84)","(5, 5, 133, 74)",5793,1,"(68.44829967201795, 42.98584498532712)","(68.44829967201795, 42.98584498532712)",179,303,343183235,7.51048393488035,75,2.61041496700589,446,39.773047401,238.700673226308,235,124,322,30.2986321344589,243.394784372837,0.34961740499848,343183235,0.006046184718671,2263.00966120739,15480.1699251569,116.004045354941,181886837.893105,262625.370195026,8532.71613741857,439.8694391437,0.901946667431495,16.5619025237517,5.44070374549027,164.872406793696,0.000176951132232,12.6720267086193,-0.311282445604405,0.995302651995173,0.059748183085519,0.995840425880788,0.125694901627612,0.952541024691129,0.061869523885351,0.000705025271354,8.41817406954078,2243.14639414056,34.2675179490687,0.006033010334669,2269.07160991197,15698.1799994277,1.06039333974348,16494.8246869006,0.000335573203952,0.000325721181968,7.62809412622672,5462.28977920308,0.961666716184035,0.980493699292249,0.020202573937688,0.985292841509395,15503.5202646126,0.000323339728449,32.1041822255414,0.005994059414776,2288.06574616924,15838.5296863331,1.26717699775952,19322.5156833458,0.00037950676122,0.000335705590774,4637.06758775205,0.86577064745184,0.944960169280558,15086.5493346507,0.000326983466405,7.88328199600835,0.924564129121353,0.097338470295122,8.0831404595382,4363.16295529087,0.753178483564797,0.161389682941748,35.0255480752633,2263.00966120739,15649.6554462282,1.49784222337304,22131.0605903677,0.000404461073943,0.0003225388929,0.891764725626714,14192.8176558874,0.000305197227389
